airline,tokens,airline_sentiment,positive
United,"['@unit', 'flight', 'delay', '24', 'hour', 'lost', 'wallet', 'money', 'eat', 'sleep', 'yet', 'repres', 'help', '#unitedsuck']",negative,0
Southwest,"['@southwestair', 'flight', 'cancel', 'flight', 'tonight', 'told', 'receiv', 'travel', 'voucher', 'inconveni', 'realli', 'polici']",negative,0
United,"['@unit', '@fernheinig18', 'delay', 'due', 'make', 'back', 'gate', 'multipl', 'time', 'mayb', 'take', 'account']",negative,0
United,"['@unit', 'ask', 'stewardess', 'take', 'disinfect', 'wipe', 'trash', 'said', 'hand', '!', '#badservic']",negative,0
United,"['@unit', 'speak', 'basic', 'worst', 'design', 'web', 'system', 'ever']",negative,0
US Airways,"['@usairway', 'yup', '1:34', 'minut', 'limit', 'wait', 'hold', 'thank', 'noth']",negative,0
United,"['@unit', 'fuck', 'void', 'ticket', 'kept', 'money', 'even', 'apolog', 'never', 'fli', 'airlin', '#unitedairlin']",negative,0
United,"['@unit', 'alreadi', 'done', 'answer', 'got', '...', 'oop', 'give', 'mile', ""we'r"", 'sorri', 'pay', 'discomfort', '9', 'h']",negative,0
United,"['@unit', 'hour', 'delay', ""can't"", 'print', 'piec', 'paper', '!']",negative,0
US Airways,"['@usairway', 'us', 'air', 'ppl', 'anywher', 'phl', 'direct', 'strand', 'pax', 'kudo', 'phl', 'employe', 'get', 'work', 'midnight', 'help', 'got']",negative,0
American,"['@americanair', 'flight', 'cancel', 'flightl', ""can't"", 'get', 'desk', 'noth', 'show', 'onlin', 'reserv']",negative,0
US Airways,"['@usairway', 'believ', 'serious', ""what'"", 'accept', 'time', 'expens', 'name', 'fault', '...']",negative,0
United,"['@unit', '50', 'min', 'hold', 'tri', 'book', 'award', 'flight', 'site', 'error', 'agent', 'ask', 'pin', 'see', 'platinum', 'avail', 'badbadbad']",negative,0
US Airways,"['@usairway', 'check', 'onlin', 'state', 'statu', 'close', 'mean', 'yet', 'abl', 'reach', 'live', 'person', '...']",negative,0
US Airways,"['@usairway', 'gate', 'agent', 'said', 'book', 'full', 'sorri', 'ticket', '1st', 'class', 'seat', 'call', 'custom', 'servic', 'land']",negative,0
Virgin America,"['@virginamerica', 'statu', 'match', 'program', 'appli', 'three', 'week', 'call', 'email', 'respons']",negative,0
Delta,"['@jetblu', 'flew', 'san', 'francisco', 'fort', 'lauderdal', 'last', 'year', 'fantast', 'time', 'would', 'like', 'go', 'back', '!']",positive,1
United,"['@unit', 'flight', 'delay', 'anoth', 'hour', '24', 'min', 'transit', 'lax', '...', 'extrem', 'unlik', 'make', '!']",negative,0
Delta,"['talk', '@jetblu', 'manag', 'offer', 'pay', '3x', 'cash', 'origin', 'paid', '#nothank', '#jetblu', '#ripoff', '#flyunit']",negative,0
US Airways,"['@usairway', 'still', 'wait', '#brokenpromis', '#notnic', '#neveragain', '#tellyourstori']",negative,0
Southwest,"['@southwestair', 'oh', 'look', 'delay', 'flight', 'addit', 'half', 'hour', 'arriv', '6', 'offici', 'five', 'hour', 'plan', '😡', '😡', '😡', '😤', '😤', '😤']",negative,0
Southwest,"['@southwestair', 'thank', 'swa', 'shannon', 'g', '@lasairport', 'c22', 'miracl', 'worker', '!', '#awesom']",positive,1
Virgin America,"['@virginamerica', 'thank', '!', 'see', ""y'all"", 'soon', '!', ""i'm"", 'excit', 'see', 'expans', 'destin', 'spread', 'wing', '!']",positive,1
Virgin America,"['@virginamerica', 'realli', 'experi', 'hope', '4', 'ws', 'forc', '2', 'check', 'small', 'carri', 'w', 'noth', 'empti', 'cabin', 'space', 'board']",negative,0
US Airways,"['@usairway', 'sent', 'letter', 'letter', 'get', 'back', 'noth', 'form', 'letter', 'half', 'bake', ""reply'"", '#usairwaysssuck']",negative,0
Virgin America,"['@virginamerica', 'tri', 'book', 'flight', 'site', '😁']",negative,0
Southwest,"['@southwestair', 'thank', 'thank', 'thank', '!', '!', '!', 'last', 'attempt', 'win', '#destinationdragon', 'ticket', 'success', '!', 'could', 'happier', '!', '!', ':)']",positive,1
US Airways,"['@usairway', 'pack', 'carri', 'reason', 'thank', 'make', 'check', 'hope', 'better', 'custom', 'servic', 'cle', 'also', '#nothappi']",negative,0
United,"['@unit', 'lack', 'custom', 'servic', 'astound', '!', 'worst', 'airlin', 'histori', 'airlin', '!', 'train', 'staff', '!']",negative,0
United,"['@unit', '#flightdelay', 'earli', 'craft', 'arriv', 'pilot', 'stuck', 'traffic', '#fail', '#nocustomerservic', '#nocompens']",negative,0
Southwest,"['@southwestair', 'awesom', 'staff', 'check', 'desk', '!', 'paper', 'airplan', 'race', 'sw', 'gift', 'card', 'keep', 'ppl', 'entertain', 'delay']",positive,1
American,"['@americanair', 'announc', 'board', 'chose', 'limit', 'cater', 'point', 'run', 'show', 'lack', 'plan', 'imo']",negative,0
Southwest,"['@southwestair', '@johnwayneair', 'thank', 'much', '!', '!']",positive,1
Southwest,"['@southwestair', 'ye', 'thank', 'oct', '25', 'oct', '31']",positive,1
American,"['@americanair', 'pleas', 'help', 'rebook', 'incorrectli', 'flight', 'cancel', 'flightl', 'pleas', 'fix', 'flt', 'tuesday', '!', '!']",negative,0
US Airways,"['@usairway', '#428', 'delay', 'due', '#frozentoilet', '#medicalissu', '#mechanicalissu', '#dispatchissu', ""we'v"", 'heard', '!', '#letsgo']",negative,0
Southwest,"['@southwestair', '#fail', 'southwest', 'chang', 'flight', 'differ', 'time', 'citi', 'blame', 'correct', '#furiou']",negative,0
United,"['@unit', 'u', 'lost', 'bag', 'would', 'refund', 'bag', 'fee', 'make', 'sens', 'ye', 'alreadi', 'call', 'cust', 'svc', 'said']",negative,0
Delta,"['@jetblu', 'thank', 'jb', '!', '!', '💙', '!']",positive,1
Delta,"['@jetblu', 'tri', '...', 'consider', 'confus', '...', 'announc', '...', 'sign', 'updat']",negative,0
Southwest,"['@southwestair', ""we'v"", 'lost', 'whole', 'day', 'honeymoon', '...', 'disappoint', 'frustrat', 'everyth']",negative,0
American,"['@americanair', 'best', '800', 'messag', 'say', 'use', 'websit', 'websit', 'say', 'need', 'call', 'answer', '#hardtodo']",negative,0
US Airways,"['@usairway', 'see', 'lie', 'auto', 'respond', 'insult', 'email', '#suck']",negative,0
US Airways,"['@usairway', '@americanair', 'work', 'tight', 'cx', '@mia', ""they'r"", 'delay', 'flight', 'twice', '20', 'sec', '@jabevan221', 'http://t.co/g3uy6w28qh']",negative,0
US Airways,"['@usairway', 'stuck', 'tarmac', '30', 'min', 'phl', 'wait', 'someon', 'load', 'baggag', 'ridicul', 'http://t.co/brcsjbxg2']",negative,0
United,"['@unit', 'thank', 'ask']",positive,1
US Airways,"['@usairway', 'compani', 'see', 'passeng', 'custom']",negative,0
Delta,"['@jetblu', ""we'v"", 'delay', 'delay', 'palm', 'beach', '...', 'need', 'head', 'westchest', 'give', 'info']",negative,0
United,"['@unit', 'atroci', 'custom', 'servic']",negative,0
United,"['@unit', 'thank', 'noth', 'next', 'time', ""i'll"", 'bring', 'whole', 'extra', 'suitcas', '1', 'extra', 'pound', 'make', 'sens', 'right']",negative,0
US Airways,"['@usairway', '3:22', 'sign', 'board', '...', 'pleas', 'get', 'anoth', 'updat']",negative,0
Southwest,"['@southwestair', 'accord', 'tv', 'passeng', 'interview', 'land', 'far', 'unev', 'heavi', 'panic', 'break']",negative,0
US Airways,"['@usairway', ""i'v"", 'hold', 'one', 'hour', 'four', 'minut', 'reserv', 'line', 'possibl', 'busi', 'way']",negative,0
United,"['@unit', 'premier', 'desk', 'abl', 'rebook', 'friend', '@americanair', 'problem', 'pay', 'check', 'bag', ':/']",negative,0
American,"['@americanair', 'anoth', 'day', 'anoth', 'grievanc', 'airlin', 'custom', 'servic']",negative,0
American,"['@americanair', 'mom', 'tri', 'also', 'reason', 'chang', ""y'all"", 'liter', 'said', 'rather', 'empti', 'seat']",negative,0
American,"['@americanair', 'made', '!', 'thank', 'aa', '!']",positive,1
US Airways,"['@usairway', 'fuck']",negative,0
American,"['@americanair', 'seat', 'assign', 'process', 'flight', 'book', 'problem', 'mislead', ""i'm"", 'pay', 'extra', 'select', 'seat']",negative,0
United,"['@unit', 'baggag', 'check', 'flight', 'crew', 'friendliest', 'ever', 'flight', '#417', 'ogg', 'lax', '!', '!', '!']",positive,1
Southwest,"['@southwestair', 'flight', 'attend', 'realli', 'funni', '!', '!', 'sass', 'give', 'life', '!', '!', '!', '😂']",positive,1
US Airways,"['@usairway', 'wont', 'waiv', 'fee', 'flight', 'cancel', 'flightlat', 'due', '#neptun', 'use', 'credit', '200', 'fee', 'couldnt', 'reach', 'destin', '@bostonbbb', '#notmyfault']",negative,0
American,"['@americanair', 'still', 'wait', 'flight', '...', 'get', 'money', 'back']",negative,0
Southwest,"['@southwestair', 'thank', 'ad', 'straight', 'flight', 'columbu', 'oakland', '!']",positive,1
Southwest,"['@southwestair', 'pleas', 'accept', 'apolog', 'lame', 'childish', 'tweet', 'deserv', 'remain', 'loyal', 'sw', 'custom', '!']",positive,1
American,"['@americanair', 'aa2416', 'time', 'awesom', 'flight', 'great', 'job', 'american', '!']",positive,1
US Airways,"['@usairway', 'jfk', 'baggag', 'offic', 'actual', 'run', 'paper', 'hotel', 'voucher', '#thislinehasntmovedforanhour']",negative,0
United,"['@unit', 'two', 'dozen', 'back', 'line', 'see', 'singl', 'csr', 'reflight', 'book', 'problem', 'final', 'leg', 'kiosk', 'fritz']",negative,0
United,"['@unit', 'flight', 'ua1459', 'sit', 'newark', 'wait', 'gate', 'serious', '#threehoursl', 'flight']",negative,0
US Airways,"['@usairway', 'amaz', 'day', 'delay', '4', 'hr', 'bc', 'frozen', 'h2o', 'plane', 'sit', 'gate', 'plane', '4', '30', 'min', 'still', 'wait', '!', '#flight1797']",negative,0
American,"['@americanair', 'almost', 'bad', '@unit']",negative,0
American,"['@americanair', 'sit', 'plane', '2.5', 'hr', 'gate', 'due', 'comput', 'sy', 'issu', 'point', 'cancel', 'flight', 'flight', 'ridicul', '@phlairport']",negative,0
US Airways,"['@usairway', 'thank', 'ruin', 'last', 'night', 'vacat', 'worri', 'flight', ""y'all"", 'record']",negative,0
Southwest,"['@southwestair', 'loyal', 'a-list', 'custom', 'easier', 'get', 'help', 'bring', 'resolut', 'issu', 'reward', 'program']",negative,0
American,"['@americanair', 'respons', 'dm', 'email', 'yet', 'custom', 'servic']",negative,0
United,"['@unit', 'mia-ewr', '#384', '😄', '😄', '😄', 'excel', 'crew', 'ewr-iad', '#3589', '😡', '😡', '😡', 'crew', 'load', 'bag', 'wait', 'w', 'door', 'open', 'freez', '20', 'min', 'past', 'departur']",negative,0
United,"['@unit', ""i'm"", 'glad', 'mean', 'excus', 'ineffici', '!', 'took', '70min', 'bag', 'arriv', 'flight']",negative,0
United,"['@unit', 'worst', 'flight', 'experi', ""i'v"", 'ever', 'never', 'ever', 'fli', 'airlin']",negative,0
United,"['@unit', 'airlin', 'cancel', 'flightl', 'flight', 'tomorrow', 'nyc', 'area']",negative,0
Southwest,"['@southwestair', 'glad', 'know', ""i'll"", 'fli', 'luv', 'airlin', 'tomorrow', ';)']",positive,1
US Airways,"['@usairway', 'us', '728', 'one', 'water', 'run', ""planet'"", 'smallest', 'water', 'bottl', 'applaud', 'look', 'environ']",negative,0
American,"['“', '@americanair', '@dawn_davi', 'welcom', 'dawn', 'love', 'take', 'fli', ""let'"", '!', '”', '1', 'week', '!']",positive,1
Virgin America,"['@virginamerica', 'call', 'servic', 'line', 'hung', 'awesom', '#sarcasm']",negative,0
United,"['@unit', 'flight', '1219', 'frustrat', 'boil', 'deal', 'attend', 'attitud', 'ridicul']",negative,0
US Airways,"['@usairway', 'pilot', 'plead', 'let', 'board', 'begin', 'full', 'flight', '#1937', 'wait', '4th', 'flight', 'attend', 'deni', 'mission', 'control', 'grrrr']",negative,0
US Airways,"['@usairway', 'hate']",negative,0
American,"['@americanair', 'pathet', 'servic']",negative,0
United,"['@unit', 'sent', 'email', 'custom', 'care', 'tell', 'may', 'break', '😢', 'sincer', 'hope', 'help', '!', '!']",negative,0
Southwest,"['@southwestair', 'thank', 'apolog', 'unfortun', 'one', 'mani', 'bad', 'experi', 'longer', 'fli', 'southwest']",negative,0
Southwest,"['@southwestair', 'oh', 'worri', 'never', 'seen', 'today', 'mean', '…', 'great', 'card', '😀']",positive,1
Southwest,"['@southwestair', 'good', 'chanc', 'anyon', 'els', 'airport', 'ever', 'flight', 'book', 'problem', 'southwest', '..']",negative,0
United,"['@unit', 'current', 'ua862', '20', 'minut', 'worst', 'turbul', ""i'v"", 'ever', 'experienc', 'zero', 'commun', 'flight', 'deck']",negative,0
United,"['@unit', 'call', 'discuss', 'told', 'unit', 'phone', 'contact', 'passeng', 'absurd', '...']",negative,0
US Airways,"['@usairway', 'want', 'hang', 'plane', 'day', 'travel', 'get', 'work', 'done', 'turn', 'right', 'back', 'around', 'unaccept']",negative,0
Delta,"['@jetblu', 'awesom', 'thank', '!', 'thank', 'quick', 'respons', 'guy', 'rock', '!', ':)']",positive,1
US Airways,"['@usairway', 'also', 'get', 'excit', ""he'"", 'go', 'unabl', 'contact', 'destin', 'get', 'talk']",negative,0
United,"['@unit', 'care', 'less', 'person', 'although', 'walk', 'away', 'complain', 'man', '10p', 'lax', 'club', '...']",negative,0
Delta,"['@jetblu', 'great', 'servic', 'pbi', 'hpn', '!', 'thank']",positive,1
Virgin America,"['@virginamerica', 'know', 'need', 'spotifi', 'stat', '#guiltypleasur']",positive,1
US Airways,"['@usairway', 'say', 'call', 'travel', 'agenc', 'say', 'cant', 'refund', 'usairway', 'didnt', 'accept']",negative,0
Virgin America,"['@virginamerica', 'heyyyi', 'guyyyi', '..', 'tri', 'get', 'hour', 'someon', 'call', 'pleas', ':/']",negative,0
United,"['@unit', 'better', 'train', 'support', 'staff', 'appropri', 'decorum', 'consid', 'revisit', 'terribl', 'provid', 'death', 'certif', 'polici']",negative,0
United,"['@unit', 'unfortun', 'ask', 'staff', 'could', 'help', 'said', 'ask', 'ppl', 'row', 'switch', 'one', 'would']",negative,0
Southwest,"['@southwestair', 'bag', 'tv', 'show', 'film', '!', '!']",negative,0
US Airways,"['@usairway', 'told', 'us', 'last', 'night', 'ground', 'stop', ""o'har"", 'four', 'hour', 'obama', 'land', 'stop', 'blame', 'someon', 'els']",negative,0
Southwest,"['@southwestair', 'hold', 'custom', 'servic', 'may', 'quicker', 'rebook', 'trip', 'lower', 'fare', 'differ', 'go']",negative,0
Southwest,"['@southwestair', 'serious', 'four', 'delay', 'take', '42', 'minut', 'get', 'vega', '@flylaxairport', 'connect', 'flight', '#ridicul']",negative,0
United,"['@unit', ""i'm"", 'say', 'made', 'flight', 'poor', 'non-commun', 'unaccount', 'lost', 'time', 'lot', 'frustrat', 'flyer', 'stand', 'around']",negative,0
US Airways,"['@usairway', 'strand', 'bag', 'philli', 'last', 'sat', 'strand', 'philli', 'sat', 'thank', 'bullshit']",negative,0
Southwest,"['@southwestair', 'good', 'thing', 'notic', 're-rout', '7', 'total', 'passeng', 'imposs', 'tripl', 'connect', 'well']",negative,0
US Airways,"['@usairway', 'book', 'flight', 'yesterday', 'didnt', 'receiv', 'email', 'confirm', 'dividend', 'number', 'regist', 'pleas', 'help']",negative,0
United,"['@unit', 'awesom', 'thank', 'much', 'help']",positive,1
United,"['@unit', 'unfortun', 'help', 'autom', 'comput']",negative,0
American,"['@americanair', '!', ""skipper'"", 'walk-around', ':(']",negative,0
American,"['@americanair', 'love', 'servic', 'cheap', 'upgrad', 'american', 'provid', '!', 'one', 'best', 'airlin', 'ever', '!', 'good', 'food', 'good', 'seat', 'amaz', 'thank', '!']",positive,1
US Airways,"['@usairway', 'fight', 'delay', '3', 'hr', 'mco', ""i'm"", 'stuck', 'philli', 'standbi', 'ticket', 'flight', '4009', 'solut', 'need']",negative,0
US Airways,"['@usairway', 'thank', '4', 'make', 'imposs', 'expens', '2', 'chang', '2', 'flight', 'leav', 'less', '24', 'hr', 'earlier', 'reserv', '#1lesscustom']",negative,0
United,"['@unit', 'yet', 'still', 'left', 'yet', ""can't"", 'watch', 'pre-paid', 'directtv', '#firstworldproblem']",negative,0
Southwest,"['@southwestair', 'take', 'money', 'provid', 'servic', 'make', 'profit', 'ventur', 'compani', '#isitthegarykellyway']",negative,0
United,"['@unit', 'ye', 'partli', 'use', 'del-ewr', 'use', 'return', 'flight', 'cancel', 'flightl', 'due', 'technic', 'glitch', 'oper']",negative,0
American,"['@americanair', 'flight', 'cancel', 'flightl', 'laguardia', 'louisvil', 'ky', 'stuck', 'airport', 'guy', 'compens']",negative,0
US Airways,"['@usairway', '24', 'hr', 'travel', 'welcom', 'u', 'back', 'home', 'us', '4', 'hr', 'layov', 'get', 'watch', 'go', 'wrong', 'destin']",negative,0
Southwest,"['@southwestair', 'bag', 'back', 'ding', '!', '!']",negative,0
American,"['@americanair', 'thank', 'get', 'back', 'find', 'airlin', 'futur']",negative,0
United,"['@unit', '@delta', 'lost', 'luggag', 'atl', 'hdn', 'luggag', 'denver', 'said', '@unit', 'deliv', 'luggag', 'hdn', 'airport', 'claim', 'hdndl', '11785']",negative,0
US Airways,"['@usairway', 'given', 'option', 'get', 'plane', 'sit', 'time', 'longer', 'actual', 'flight']",negative,0
Virgin America,"['@virginamerica', '’', 'troubl', 'ad', 'flight', 'wife', 'book', 'elev', 'account', 'help', 'http://t.co/px8hqoks3r']",negative,0
US Airways,"['@usairway', 'mind', 'wait', 'mind', 'wait', 'plane', 'airport', 'room', 'know', '..', 'food', '!']",negative,0
US Airways,"['@usairway', '@americanair', 'burn', 'lot', 'time', 'cell', 'minut', 'work', 'flight', 'issu', 'hope', 'fli', 'home', 'morn']",negative,0
US Airways,"['@usairway', 'comput', 'system', 'went', 'ok', 'understand', 'agent', 'make', 'wors', 'help', 'anyon', 'els']",negative,0
US Airways,"['@usairway', 'overflow', 'armrest', 'leg', 'sprawl', 'refund', 'choic', '#grossedout']",negative,0
American,"['@americanair', 'right', 'miss', 'connect', 'three', 'hour', 'kay', 'lost', 'bag']",negative,0
American,"['@americanair', ""yesterday'"", 'cancel', 'flight', 'flight', 'aa104', 'custom', 'support', 'aw', '!']",negative,0
United,"['14', 'biz', 'day', '18', 'calendar', 'respond', 'inquiri', '@unit', 'hope', 'standard', 'univers', 'adopt', ':-/', '#badcustomerservic']",negative,0
United,"['@unit', 'cours', 'bag', ':(', '#frustrat']",negative,0
