airline,tokens,airline_sentiment,positive
Virgin America,"['@virginamerica', 'like', 'custom', 'servic', '40', 'min', 'delay', 'connect', 'passeng', 'seem', 'long', 'va370']",negative,0
Virgin America,"['@virginamerica', 'thank', 'outstand', 'nyc-jfk', 'crew', 'move', 'mountain', 'get', 'home', 'san', 'francisco', 'tonight', '!']",positive,1
Virgin America,"['@virginamerica', 'absolut', 'best', 'team', 'custom', 'servic', 'ever', 'everi', 'time', 'fli', ""i'm"", 'delight', 'thank', '!']",positive,1
Virgin America,"['@virginamerica', 'complet', 'awesom', 'experi', 'last', 'month', 'bos-la', 'nonstop', 'thank', 'awesom', 'flight', 'depart', 'time', '#vabeatsjblu']",positive,1
Virgin America,"['@virginamerica', 'fail', 'custom', 'check', 'process', 'link', 'tsa', 'pre-check']",negative,0
Virgin America,"['@virginamerica', '@fidifamili', 'us', '!', 'terribl', 'airlin', '!', 'gave', 'us', 'hotel', 'hotlin', 'number', 'said', 'sorri']",negative,0
Virgin America,"['@virginamerica', '@chrysichrys', 'assist', 'yesterday', 'u', 'cancel', 'flightl', 'flight', 'give', 'us', 'hotel', 'hotlin', 'shame', '!']",negative,0
Virgin America,"['@virginamerica', 'anoth', 'delay', 'flight', '#likingyoulessandless']",negative,0
Virgin America,"['@virginamerica', 'need', 'regist', 'servic', 'dog', 'first', 'class', 'ticket', 'sfo', 'dull', 'phone', 'queue', 'hour', 'longer', 'pl', 'advis']",negative,0
Virgin America,"['@virginamerica', 'rock', 'make', 'watch', '#oscar', 'flight', '!', '!', '#redcarpet', '#oscar', '#oscars2015']",positive,1
Virgin America,"['@virginamerica', ""can't"", 'book', 'seat', 'flight', 'buy', 'even', 'check', 'creat', 'much', 'anxieti', '!', '#frustrat']",negative,0
Virgin America,"['@virginamerica', 'best', 'custom', 'servic', 'rep', 'world', '!', '#irmafromdalla', 'take', 'cake', '!', '!', '!']",positive,1
Virgin America,"['@virginamerica', 'amaz', 'staff', 'super', 'help', 'ran', '@waltdisneyworld', '#princesshalf', 'spoil', 'comfort', '!', '!', '!']",positive,1
Virgin America,"['@virginamerica', 'paid', 'premium', 'fli', 'across', 'countri', 'cancel', 'flight', 'flight', 'offer', 'check', 'fee', 'upgrad', 'love', 'sad', 'face', ':(']",negative,0
Virgin America,"['alway', 'togeth', '!', '!', '!', 'welcom', '!', 'rt', '@virginamerica', '@jessicajaym', 'welcom']",positive,1
Virgin America,"['@virginamerica', '#flight', 'home', '#dc', '#sunset', '#globe', '#backtowint', 'back', '#work', '!', '#refresh', 'http://t.co/vx9vbctdlf']",positive,1
Virgin America,"['@virginamerica', 'understand', 'need', 'dm', 'give', 'answer', 'damag', 'luggag', 'polici']",negative,0
Virgin America,"['@virginamerica', 'mean', 'polici', 'destroy', 'luggag']",negative,0
Virgin America,"['@virginamerica', 'thank', 'check', 'ticket', 'purchas', 'custom', 'happi', ';-)']",positive,1
Virgin America,"['@virginamerica', 'problem', 'flight', 'book', 'problem', 'web', 'site', 'keep', 'give', 'error', 'contact', 'phone', 'phone', '30', 'minut', 'wait']",negative,0
Virgin America,"['@virginamerica', 'rang', 'wait', '35', 'minut', '!', '!', 'book', 'ticket', 'vendor', 'fix', 'site']",negative,0
Virgin America,"['@virginamerica', 'got', 'flight', 'told', '4:50', 'today', '..', 'check', 'email', '4', '50', 'tomorrow', 'unaccept']",negative,0
Virgin America,"['@virginamerica', 'flight', 'lga', 'cancel', 'flight', ""we'r"", 'stuck', 'dalla', 'call', 'reschedul', 'told', 'could', 'get', 'flight', 'today', '...', '1/2']",negative,0
Virgin America,"['@virginamerica', 'pair', 'includ', 'red', 'wine', '!', 'white', 'offer', ':(', '#redwineisbett']",negative,0
Virgin America,"['@virginamerica', ""i'm"", 'disappoint', 'agent', 'design', 'silver', 'statu', 'check', 'line', '@dulles_airport', 'close', 'assist', 'paseng']",negative,0
Virgin America,"['@virginamerica', 'normal', 'receiv', 'repli', 'central', 'baggag', '#baggageissu', '#smh']",negative,0
Virgin America,"['@virginamerica', 'logan', 'airport', 'wait', 'checkin', '9am', 'flight', 'checkin', 'desk', 'open', '!', '!', '!', '!']",negative,0
Virgin America,"['@virginamerica', 'congrat', 'got', 'busi', 'ewr', 'sfo', 'lax', 'fuck', '@unit', 'fl1289', 'sfo', 'ewr', 'clincher', '...']",negative,0
Virgin America,"['@virginamerica', 'appli', '2', 'week', 'ago', 'heard', 'back', ""i'm"", 'fli', 'week', '#disappoint']",negative,0
Virgin America,"['@virginamerica', 'thank', 'follow']",positive,1
Virgin America,"['@virginamerica', 'mani', 'apolog', '!', 'r', 'wors', 'airlin', '!', 'even', 'respond', 'cudtom']",negative,0
Virgin America,"['@virginamerica', 'shame', 'va', 'make', 'peopl', 'spend', 'money', 'strand', 'citi', 'airlin', 'land', 'jfk', '!', 'reimburs']",negative,0
Virgin America,"['@virginamerica', 'bad', 'say', 'take', '10', '14', 'day', 'via', 'confirm', 'email', 'inquir', '3', 'week', 'claim', '6', '8', 'week', '!']",negative,0
Virgin America,"['@virginamerica', 'way', 'fli', '!', '#elev', '#gold']",positive,1
Virgin America,"['@virginamerica', 'lot', 'apolog', 'thrown', 'custom', 'see.veri', 'sad', 'thank', 'noth', 'worst', 'airlin', 'ever']",negative,0
Virgin America,"['@virginamerica', 'flight', 'stuff', 'wrong', 'noth', '#worst', '#flight', 'ever']",negative,0
Virgin America,"['@virginamerica', 'tri', 'book', 'flight', 'guy', 'websit', 'let', '...', 'lose', 'busi']",negative,0
Virgin America,"['@virginamerica', 'suck', '!']",negative,0
Virgin America,"['@virginamerica', 'thank', '!']",positive,1
Virgin America,"['@virginamerica', ""dm'd"", 'issu', 'persist']",negative,0
Virgin America,"['@virginamerica', 'never', ""rec'd"", 'cancel', 'flightlat', 'notic', 'left', 'w', 'option', 'fli', 'ps', 'drive', 'la', 'red', 'eye', 'mon', 'w', 'kid']",negative,0
Virgin America,"['@virginamerica', 'tri', 'book', 'flight', 'site', '😁']",negative,0
Virgin America,"['@virginamerica', 'stink', 'flight', 'cancel', 'flight', 'psp', 'jfk', 'notif', 'abil', 'rebook', '#disappoint', '#expect', 'better']",negative,0
Virgin America,"['@virginamerica', 'love', ""guy'"", 'song', '!', ""we'r"", 'danc', 'high', 'school', 'danc', 'revu']",positive,1
Virgin America,"['@virginamerica', 'websit', ""i'm"", 'tri', 'check', '!']",negative,0
Virgin America,"['@virginamerica', 'done', '!', 'thank', 'quick', 'respons', 'appar', 'faster', 'sit', 'hold', ';)']",positive,1
Virgin America,"['@virginamerica', 'cool', 'pictur', 'anoth', 'virginamerica', 'plane', 'wing', 'site', '!', 'http://t.co/5b2agfd8c4']",positive,1
Virgin America,"['@virginamerica', 'keep', 'great', 'work', ':)']",positive,1
Virgin America,"['@virginamerica', 'good', 'peopl', '@love', 'field', 'amaz', 'pressur', '❤', 'texa', '#beatstheoth', 'crisi', 'pleas', 'fli', 'ny']",positive,1
Virgin America,"['@virginamerica', 'thank', 'much', 'awesom', 'support', 'guy', 'rock', '!']",positive,1
Virgin America,"['@virginamerica', 'flight', '404', 'delay', '2', 'hour', 'la', 'due', 'mechan', 'problem', 'handl', 'like', 'pro', 'could', 'toss', 'us', 'free', 'drink']",negative,0
Virgin America,"['@virginamerica', 'guy', 'charg', '100', 'reschedul', 'flight', 'cancel', 'flight', 'refus', 'refund', ""what'"", 'deal']",negative,0
Virgin America,"['@virginamerica', '’', 'access', 'websit', 'safari', 'iphon', '6', 'seem', 'work', 'mac', 'ipad', 'need', 'iphon', 'add', 'passbook']",negative,0
Virgin America,"['@virginamerica', 'cancel', 'flight', 'flight', 'vx413', 'one', 'sec', 'delay', 'airport', 'next', 'cancel', 'flightl', 'gonna', 'email', 'call', 'reschedul']",negative,0
Virgin America,"['@virginamerica', 'problem', 'link', 'email', 'check-in', 'thank']",negative,0
Virgin America,"['@virginamerica', 'chang', 'anoth', 'airlin', 'get', 'dc', 'today', '...', '@unit', 'abl', 'land', 'dc', 'cost', '800', '...', 'ugh']",negative,0
Virgin America,"['@virginamerica', 'look', 'forward', 'first', 'flight', 'today', 'cancel', 'flightl', 'along', 'subsequ', 'one', '...']",negative,0
Virgin America,"['@virginamerica', 'wish', 'afford', 'fli', 'next', 'friday', 'go', 'back', 'home', '..', 'love', 'everyth', 'airlin']",positive,1
Virgin America,"['@virginamerica', 'gonna', 'deal', 'dalla', 'dc', 'deal', 'dc', 'dalla', '#sad']",negative,0
Virgin America,"['@virginamerica', 'hold', 'time', 'call', 'center', 'bit', 'much']",negative,0
Virgin America,"['@virginamerica', 'best', 'flight', 'attend', 'ever', '!', '!', '!', 'http://t.co/pxdel1nq3l']",positive,1
Virgin America,"['@virginamerica', 'thank', 'much', '!']",positive,1
Virgin America,"['@virginamerica', 'nice', 'done', '👏']",positive,1
Virgin America,"['@virginamerica', 'hahaha', '😂', '@virginamerica', 'guy', 'amaz', 'love', 'guy', '!', '!', '!', '💗']",positive,1
Virgin America,"['@virginamerica', 'sound', 'like', 'fun', '!']",positive,1
Virgin America,"['@virginamerica', 'css', 'site', '404', 'right', 'pleas', 'fix', 'site', 'unus']",negative,0
Virgin America,"['@virginamerica', 'thank', 'great', 'custom', 'servic', 'today', 'help', 'get', 'travel', 'sort', '!']",positive,1
Virgin America,"['@virginamerica', 'thank', 'guy', '!', 'sweet', 'rout', 'rocki', '#airplanemodewason']",positive,1
Virgin America,"['@virginamerica', 'love', '90', 'music', 'blast', 'gate', '#boston', 'wait', 'flight', '#sanfrancisco', 'could', 'get', 'ice', 'coffe', '!']",positive,1
Virgin America,"['@virginamerica', 'current', 'bug', 'websit', 'show', '‘', 'select', 'departur', 'citi', '’', 'select', 'destin', 'citi', 'http://t.co/sllyibe2vq']",negative,0
Virgin America,"['@virginamerica', 'luggag', 'sever', 'dent', 'miss', 'wheel', 'come', 'baggag', 'claim', 'san', 'luggag', 'agent', 'miranda', 'think', 'help']",negative,0
Virgin America,"['@virginamerica', 'thank', 'easi', 'itinerari', 'shift', 'impend', 'weather', 'quick', 'painless', 'free']",positive,1
Virgin America,"['@virginamerica', 'thank', '!', 'good', 'time', 'back', '!', '#vodkaton', 'entir', 'flight', '🍸', '#sfo']",positive,1
Virgin America,"['@virginamerica', 'great', 'job', 'ad', 'littl', 'luxuri', 'aesthet', 'improv', 'air', 'travel', 'experi', 'thank', 'keep', '!']",positive,1
Virgin America,"['@virginamerica', 'request', 'window', 'seat', 'confirm', 'window', 'got', 'stuck', 'middl', 'seat', 'good', 'way', 'treat', 'silver', 'member', '😒']",negative,0
Virgin America,"['@virginamerica', 'someth', 'wrong', 'websit', 'safari', 'iphon']",negative,0
Virgin America,"['@virginamerica', 'thank', 'gate', 'check', 'baggag', 'full', 'flight', 'dfw-lax', '883', 'give', 'earli', 'board', '#sweet']",positive,1
Virgin America,"['@virginamerica', 'boo', 'refund', 'seat', 'upgrad', 'fee', 'want', 'buy', 'first', 'place', '!']",negative,0
Virgin America,"['@virginamerica', 'inflight', 'team', 'make', 'experi', '#amaz', '!']",positive,1
Virgin America,"['@virginamerica', 'cutest', 'salt', 'pepper', 'shaker', 'ever', 'think', 'guy', ""can't"", 'get', 'better', '!', 'http://t.co/vc6keulg2j']",positive,1
Virgin America,"['@virginamerica', 'move', 'seat', 'notic', 'better', 'seat', 'cabin', 'select', 'behind', 'row', 'select', '👎', '#disappoint']",negative,0
Virgin America,"['@virginamerica', 'fav', 'airlin']",positive,1
Virgin America,"['@virginamerica', 'alreadi', 'contact', 'central', 'baggag', 'sent', 'dm', '@renttherunway', 'charg', 'dress', 'lost', 'suitcas', '#help']",negative,0
Virgin America,"['@virginamerica', 'thank', '!', '!']",positive,1
Virgin America,"['@virginamerica', '@virginatlant', 'check', 'flight', 'sfo', 'lax', 'told', 'atlant', 'fli', 'club', 'gold', 'get', 'benefit', '!']",negative,0
Virgin America,"['@virginamerica', 'husband', 'order', 'three', 'drink', 'via', 'screen', 'never', 'came', 'awesom', '!']",negative,0
Virgin America,"['@virginamerica', 'soooo', 'guy', 'go', 'leav', 'seatbelt', 'light', 'flight', 'bare', 'call', 'turbul', ':-)']",negative,0
Virgin America,"['@virginamerica', 'funni', 'stori', 'websit', 'broken', 'miss', 'javascript', 'stylesheet', 'checkin', 'process', 'dislik', '!']",negative,0
Virgin America,"['@virginamerica', 'would', 'love', 'virgin', 'like', '@gopro']",positive,1
Virgin America,"['@virginamerica', ""i'm"", 'tri', 'check', '10:50', 'ct', 'flight', 'tmm', 'desktop', 'websit', 'work', 'sort', 'cach', 'bug', 'so']",negative,0
Virgin America,"['@virginamerica', 'guy', 'know', 'check-in', 'link', 'email', 'broken', 'http://t.co/2npxb6obmr']",negative,0
Virgin America,"['@virginamerica', 'love', ""can't"", 'wait', ""monday'"", 'return', 'flight', '...', 'mostli', 'watch', 'inflight', 'safeti', 'video', '#sorrynotsorri']",positive,1
Virgin America,"['@virginamerica', 'lost', 'luggag', '4', 'day', 'ago', 'flight', 'vx', '112', 'lax', 'iad', ""i'm"", 'call', 'everi', 'day', 'response.pleas', 'give', 'back', 'stuff']",negative,0
Virgin America,"['@virginamerica', 'hi', '!', 'want', 'see', 'new', 'rout', 'plan', 'year', 'newark', 'love', 'fli', 'guy', 'hope', '!']",positive,1
Virgin America,"['@virginamerica', 'understand', 'help', 'thx', '!', '#comp']",positive,1
Virgin America,"['@virginamerica', 'thank', '!', 'absolut', '😎']",positive,1
Virgin America,"['@virginamerica', 'look', 'like', 'broken', 'link', 'asset', 'https://t.co/oardjjgrrd']",negative,0
Virgin America,"['@virginamerica', 'manag', 'itinerari', 'section', 'websit', 'seem', 'broken', 'https://t.co/2pujvcelng']",negative,0
Virgin America,"['@virginamerica', ""can't"", 'check', 'site', 'look', 'like', 'everi', 'time', 'load', 'http://t.co/kacy2awdbw']",negative,0
Virgin America,"['@virginamerica', 'carrier', 'less', 'half', 'price', 'round', 'trip', 'fare', 'stun', 'http://t.co/ukdjjijrow']",negative,0
Virgin America,"['@virginamerica', 'wtf', 'happen', 'pdx', 'late', 'flight', 'march', 'one', 'way', 'sfo', '550']",negative,0
Virgin America,"['@virginamerica', '@ssal', 'thank', '!']",positive,1
Virgin America,"['@virginamerica', 'luggag', 'gone', ""i'v"", 'file', 'paperwork', 'promis', 'call', 'email', 'still', 'resolut', 'respons', 'central', 'luggag']",negative,0
Virgin America,"['@virginamerica', 'thank', 'take', 'care', '@suuperg', 'flight', '!', '!', '#rockstar', '#travel']",positive,1
Virgin America,"['@virginamerica', 'thank', 'love', 'soft', 'view', '!', '#travel', '#san', '#sfo', 'http://t.co/cnctl7g1ef']",positive,1
Virgin America,"['@virginamerica', 'request', 'mileag', 'challeng', 'statu', 'sever', 'week', 'ago', 'onlin', 'heard', 'back', 'get', 'help']",negative,0
Virgin America,"['@virginamerica', 'appli', 'statu', 'match', 'feb', '1', 'got', 'confirm', 'email', 'day', 'still', 'news', 'though', 'guy', 'drop', 'ball', 'late', 'flightli', '😥']",negative,0
Virgin America,"['@virginamerica', 'ador', 'look', 'forward', 'flight', 'austin', 'two', 'week']",positive,1
Virgin America,"['@virginamerica', 'first', 'time', 'fli', 'virgin', 'went', '#sanfrancisco', 'thank', 'smooth', 'ride', 'easili', 'new', 'fav', 'airlin', '!']",positive,1
Virgin America,"['@virginamerica', 'realli', 'experi', 'hope', '4', 'ws', 'forc', '2', 'check', 'small', 'carri', 'w', 'noth', 'empti', 'cabin', 'space', 'board']",negative,0
Virgin America,"['@virginamerica', 'spoke', 'repres', 'offer', 'solut', 'loyal', 'custom', 'fli', '@virginatlant', 'well']",negative,0
Virgin America,"['@virginamerica', 'deepli', 'disappoint', 'birthday', 'promo', 'appli', 'trip', 'book', 'mere', 'day', 'receiv', 'email']",negative,0
Virgin America,"['@virginamerica', 'promot', 'product', 'problem', 'southwest', 'recommend', 'noneoth', 'best', '!', 'http://t.co/tfanxbh1cf']",positive,1
Virgin America,"['@virginamerica', 'love', 'guy', 'pl', 'get', 'direct', 'rout', 'la', 'au', '!']",positive,1
Virgin America,"['@virginamerica', 'cours', '!', 'work', '@virginatlant', ""i'm"", 'obsess', 'entir', 'virgin', 'famili', '!', '!']",positive,1
Virgin America,"['@virginamerica', 'vx399', 'jfk', 'la', 'dirti', 'plane', 'standard']",negative,0
Virgin America,"['@virginamerica', 'flight', 'vx399', 'head', 'la', 'jfk', 'dirtiest', 'va', 'plane', 'ever', 'sad', 'great', 'airlin']",negative,0
Virgin America,"['@virginamerica', 'avi', 'rental', 'continu', 'button', 'work', 'websit', 'book', 'car', 'tri', '4', 'time', 'phone', 'suck', '!']",negative,0
Virgin America,"['@virginamerica', 'delay', 'to10', '30', '!', '!']",negative,0
Virgin America,"['@virginamerica', 'current', 'minut', '10', 'hold', 'cust', 'servic', 'need', 'anyth', 'add', 'lap', 'child', 'reserv']",negative,0
Virgin America,"['@virginamerica', 'comen', 'bank', 'joke', '!', 'pleas', 'chang', 'noth', 'constant', 'problem', 'bank']",negative,0
Virgin America,"['@virginamerica', 'bought', 'tix', 'atx', 'dalla', 'rout', 'thank', 'ad', '!', 'love', 'yr', 'airlin', 'yr', 'websit', 'best', 'transact', 'site', 'ever']",positive,1
Virgin America,"['@virginamerica', 'gave', 'credit', 'late', 'flight', 'flight', 'yesterday', 'great', 'servic', '!', '!', '!', ""that'"", 'wow', 'moment', '!', 'unexpect', 'gestur', '!']",positive,1
Virgin America,"['@virginamerica', 'submit', 'statu', 'match', 'request', 'back', 'still', '’', 'heard', '!', '’', 'fli', 'monday', 'look', 'acceler']",negative,0
Virgin America,"['@virginamerica', 'safeti', 'video', '. . .', 'http://t.co/cqmm7nue9m', 'love', 'first', 'cross', 'countri', 'flight', '#livewelltravel', '#sytycd']",positive,1
Virgin America,"['@virginamerica', 'plane', 'realli', 'pretti', 'thought', 'u', 'know', ':)']",positive,1
Virgin America,"['@virginamerica', 'thank']",positive,1
Virgin America,"['@virginamerica', 'good', 'home', '#texa', '#moodlight', 'http://t.co/n3bvzty3zi']",positive,1
Virgin America,"['@virginamerica', 'cannot', 'even', 'open', 'laptop', 'seat', '4c', 'paid', 'premium', '!', '!', 'let', '!']",negative,0
Virgin America,"['@virginamerica', 'seat', '4c', 'cannot', 'even', 'open', 'laptop', 'paid', 'extra', 'seat', '!', '!']",negative,0
Virgin America,"['@virginamerica', 'thank', 'need', 'way', 'make', 'austin', 'trip', 'dca', 'come', '!']",positive,1
Virgin America,"['@virginamerica', 'cool', '!', 'never', 'ur', 'plane', '!', '!']",positive,1
Virgin America,"['@virginamerica', 'great', 'well', 'deserv']",positive,1
Virgin America,"['@virginamerica', 'statu', 'match', '2', 'week', 'gone', 'news.flt', 'next', 'week', 'hope', 'flt', 'count', 'toward', 'requir', 'cust', 'svc', 'help', '!', '!', '!']",negative,0
Virgin America,"['@virginamerica', 'got', 'set', 'thank', '!']",positive,1
Virgin America,"['@virginamerica', 'giant', 'virgin', 'america', 'match', 'made', 'heaven']",positive,1
Virgin America,"['@virginamerica', 'thank', 'good', '!', '!', 'also', 'see', 'friday', 'nwk', 'sf', '..', 'boom', '!']",positive,1
